City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
189,lompoc,1,US,1540089300,52,34.64,-120.46,71.6,5.82
190,solon,90,US,1540090560,93,41.39,-81.44,44.6,14.99
191,san borja,20,BO,1540091740,91,-14.86,-66.75,73.0,2.71
192,lensk,68,RU,1540091741,74,60.71,114.91,28.72,3.38
193,boca do acre,68,BR,1540091741,87,-8.76,-67.39,77.99,2.93
194,coihaique,0,CL,1540087200,81,-45.58,-72.07,42.8,5.82
195,pangnirtung,32,CA,1540091741,100,66.15,-65.72,16.12,4.72
196,alpena,90,US,1540089300,59,45.06,-83.43,35.6,17.22
197,port elizabeth,90,US,1540090500,87,39.31,-74.98,57.2,6.93
198,ugoofaaru,8,MV,1540091742,100,5.67,73.0,82.49,2.93
199,marystown,92,CA,1540091743,90,47.17,-55.16,54.68,37.04
200,nizhniy kuranakh,76,RU,1540091743,68,58.84,125.49,27.14,3.49
201,dekar,0,BW,1540091743,46,-21.53,21.93,69.13,19.82
202,tuatapere,8,NZ,1540091197,68,-46.13,167.69,63.14,7.63
203,praya,75,ID,1540090800,62,-8.71,116.27,86.0,10.29
204,ixtapa,90,MX,1540086360,100,20.71,-105.21,82.4,3.36
205,iqaluit,90,CA,1540087200,92,63.75,-68.52,15.8,9.17
206,vilhena,56,BR,1540091577,95,-12.74,-60.15,72.55,3.04
207,miquelon,75,PM,1540087200,87,47.1,-56.38,53.6,33.33
208,torbay,90,CA,1540087200,87,47.66,-52.73,50.0,25.28
209,ancud,88,CL,1540091746,86,-41.87,-73.83,49.6,10.42
210,charters towers,0,AU,1540091746,66,-20.07,146.27,86.72,5.95
211,yeppoon,75,AU,1540089000,38,-23.13,150.74,87.8,4.7
212,rawson,0,AR,1540091199,78,-43.3,-65.11,55.27,15.79
213,maldonado,40,UY,1540087200,87,-34.91,-54.96,53.6,5.82
214,lata,0,IN,1540091748,60,30.78,78.62,47.17,2.15
215,jumla,0,NP,1540091250,80,29.28,82.18,33.35,2.15
216,taoudenni,48,ML,1540091183,55,22.68,-3.98,73.45,6.4
217,skelleftea,92,SE,1540090200,93,64.75,20.95,39.2,8.05
218,anloga,20,GH,1540087200,88,5.79,0.9,80.6,4.7
219,lagoa,20,PT,1540090800,93,37.14,-8.45,62.6,10.29
220,rossland,5,CA,1540090800,81,49.08,-117.8,46.4,5.82
221,baft,0,IR,1540091751,80,29.23,56.61,34.7,1.81
